Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
share_scheduled_snapshot_failed_v2,"共享文件夹""%s""计划快照执行失败。<notice-link>查看详情</notice-link>","Scheduled snapshot failed for the ""%s"" shared folder. <notice-link>View details</notice-link>",Die Ausführung des Snapshot-Zeitplans für den freigegebenen Ordner „%s“ ist fehlgeschlagen. <notice-link>Mehr erfahren</notice-link>,"共有フォルダ""%s""のスケジュールスナップショット実行に失敗しました。<notice-link>詳細を見る</notice-link>","L'instantané planifié du dossier partagé ""%s"" a échoué. <notice-link>En savoir plus</notice-link>","La instantánea programada de la carpeta compartida ""%s"" falló. <notice-link>Ver detalles</notice-link>","Falha no instantâneo programado para a pasta compartilhada ""%s"". <notice-link>Ver detalhes</notice-link>","De uitvoering van geplande snapshot voor gedeelde map ""%s"" is mislukt. <notice-link>Details weergeven</notice-link>",Snapshot pianificato non riuscito per la cartella condivisa “%s”. <notice-link>Visualizza dettagli</notice-link>,"공유 폴더 ""%s"" 스냅샷 계획 실행 실패. <notice-link>자세히 보기</notice-link>",共用資料夾「%s」排程快照執行失敗。<notice-link>查看詳情</notice-link>
home_scheduled_snapshot_failed_v2,"用户文件夹""%s""计划快照执行失败。<notice-link>查看详情</notice-link>","Scheduled snapshot failed for the ""%s"" user folder. <notice-link>View details</notice-link>",Die Ausführung des Snapshot-Zeitplans für den Benutzerordner „%s“ ist fehlgeschlagen. <notice-link>Mehr erfahren</notice-link>,"ユーザーフォルダ""%s""のスケジュールスナップショット実行に失敗しました。<notice-link>詳細を見る</notice-link>","L'instantané planifié du dossier utilisateur ""%s"" a échoué. <notice-link>En savoir plus</notice-link>","La instantánea programada de la carpeta de usuario ""%s"" falló. <notice-link>Ver detalles</notice-link>","Falha na instantânea programada para a pasta do usuário ""%s"". <notice-link>Ver detalhes</notice-link>","De uitvoering van geplande snapshot voor gebruikersmap ""%s"" is mislukt. <notice-link>Details weergeven</notice-link>",Snapshot pianificato non riuscito per la cartella utente “%s”. <notice-link>Visualizza dettagli</notice-link>,"사용자 폴더 ""%s"" 스냅샷 계획 실행 실패. <notice-link>자세히 보기</notice-link>",使用者資料夾「%s」排程快照執行失敗。<notice-link>查看詳情</notice-link>
