Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
netdisk_connect_deleted,“网盘连接-%s”已被删除，<notice-link>查看详情</notice-link>,"""Deleted Netdisk connection-%s"", <notice-link>Learn more</notice-link>","„Netdisk-Verbindung -%s“ wurde gelöscht, <notice-link>Details anzeigen</notice-link>",「ネットワーク ディスク接続-%s」は削除されました。<notice-link>詳細を表示</notice-link>,"\""Connexion Netdisk supprimée-%s\"", <notice-link>En afficher plus</notice-link>","\""Conexión Netdisk eliminada-%s\"", <notice-link>Más información</notice-link>","""Ligação Netdisk excluída-%s"", <notice-link>Saiba mais</notice-link>","""Netdisk-verbinding -%s"" is verwijderd, <notice-link>toon details</notice-link>","""Connessione Netdisk cancellata-%s"", <notice-link>Per saperne di più</notice-link>","“네트워크 드라이브 연결 - %s”가 삭제되었습니다, <notice-link>상세보기</notice-link>",“網盤連接-%s”已被刪除，<notice-link>查看詳情</notice-link>
netdisk_sync_terminate_to_many_failed,同步任务%s传输终止（过多失败），<notice-link>查看详情</notice-link>,"Sync task %s transmission terminated (too many tasks), <notice-link>Learn more</notice-link>","Synchronisationsaufgabe %s-Übertragung abgebrochen (zu vielen Aufgaben), <notice-link>Details anzeigen</notice-link>",同期タスク %s の送信が終了しました (失敗が多すぎます)、<notice-link>詳細を表示</notice-link>,"La transmission de la tâche de synchronisation %s s'est terminée (trop de tâches), <notice-link>En savoir plus</notice-link>","Transmisión de tarea de sincronización %s finalizada (demasiadas tareas), <notice-link>Más información</notice-link>","Transmissão da tarefa de sincronização %s terminada (demasiadas tarefas), <notice-link>Saiba mais</notice-link>","Synchronisatietaak %s overdracht afgebroken (te veel taken), <notice-link>toon details</notice-link>","Trasmissione dell'attività di sincronizzazione %s terminata (troppe attività), <notice-link>Per saperne di più</notice-link>","동기화 작업 %s 전송 중단 (실패 과다), <notice-link>상세보기</notice-link>",同步任務%s傳輸終止（過多失敗），<notice-link>查看詳情</notice-link>
