Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
10001,创建失败，文件夹被占用,"Creation failed, the folder is already in use","Erstellung fehlgeschlagen, der Ordner wird bereits verwendet",作成に失敗しました。フォルダが使用中です。,"Échec de la création, le dossier est déjà utilisé.","Creación fallida, la carpeta está ocupada","Falha ao criar, a pasta já está em uso","Aanmaken mislukt, map is in gebruik","Creazione fallita, la cartella è già in uso",생성 실패. 폴더가 사용 중입니다.,創建失敗，文件夾被佔用
10002,权限不足，无法执行此操作,"Insufficient permissions, unable to perform this operation",Vorgang fehlgeschlagen aufgrund unzureichender Berechtigungen,権限が不足しているため、この操作を実行できません。,"Autorisations insuffisantes, impossible d'exécuter cette opération.","Permisos insuficientes, no se puede realizar esta operación",Permissão insuficiente  para executar esta ação,Onvoldoende machtigingen om deze actie uit te voeren,"Permessi insufficienti, impossibile eseguire questa operazione",권한이 부족하여 이 작업을 수행할 수 없습니다,權限不足，無法執行此操作
10003,权限不足或资源不存在,Insufficient permissions or resources do not exist,Unzureichende Berechtigungen oder Ressourcen existieren nicht,権限不足またはリソースが存在しません。,Autorisations insuffisantes ou ressources inexistantes.,Permisos insuficientes o los recursos no existen,Permissão insuficiente ou os recursos não existem,Onvoldoende machtigingen of resources bestaan niet,Permessi insufficienti o risorse inesistenti,권한이 없거나 리소스가 존재하지 않습니다,權限不足或資源不存在
10004,无效的路径,Invalid path,Ungültiger Pfad,無効なパス,Chemin invalide,Ruta inválida,Caminho inválido,Ongeldig pad,Percorso invalido,유효하지 않은 경로,無效的路徑
10005,暂不支持网络文件夹,Network folder unavailable,Netzwerkordner nicht verfügbar,ネットワークフォルダはサポートされていません,Dossier réseau indisponible,Carpeta de red no disponible,Pasta de rede indisponível,Netwerkmap niet beschikbaar,Cartella di rete non disponibile,네트워크 폴더는 아직 지원하지 않습니다.,暫不支持網絡文件夾
10006,漫画库已达上限50个,Reached the library limit (50),Die maximale Anzahl an Bibliotheken (50) ist erreicht,ライブラリは上限の 50 個に達しました,Limite de la bibliothèque atteinte (50),La biblioteca ha alcanzado el límite máximo de (50),Atingiu o limite da biblioteca (50),Het maximumaantal bibliotheken (50) is bereikt,Raggiunto il limite della biblioteca (50),라이브러리 한도 (50)개 도달,漫畫庫已達上限50個
10007,正在扫描中，暂时无法编辑漫画库,Scanning... Editing is unavailable,Wird gescannt... Das Bearbeiten der Bibliothek ist vorübergehend nicht möglich,スキャン中です。一時的に編集できません。,"Scan en cours, modification temporairement impossible.",Escaneando… La edición no está disponible,A digitalizar... A edição não está disponível,Scannen... Bewerken is niet beschikbaar,Scansione in corso... La modifica non è disponibile,스캔 중... 편집 불가,正在掃描中，暫時無法編輯漫畫庫
