Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,nl-NL,pt-PT,es-ES,it-IT,ko-KR,zh-TW
201003,密钥文件不正确,Key file error,Falsche Schlüsseldatei,キー ファイルが正しくありません。,Erreur de fichier clé,Fout in sleutel bestand,Erro no ficheiro de chave,Error de archivo clave,Errore del file chiave,키 파일 오류,密鑰文件不正確
201005,目标位置存在残留保险箱数据，请先删除后操作,"Residual vault data exists at the target location, please delete it first","Am Zielort befinden sich noch verbleibende Tresor-Daten, bitte löschen Sie diese zuerst.",対象の場所にセーフボックスの残留データがあります。削除してから操作してください。,Des données résiduelles du coffre-fort existent à l'emplacement cible. Veuillez les supprimer avant toute opération.,"Er zijn nog rest gegevens van de kluis op de doel locatie, verwijder deze eerst","Existem dados residuais do cofre no local de destino, por favor remova-os primeiro",Hay datos residuales de la [caja fuerte] en la ubicación de destino. Elimínelos antes de continuar.,"Esistono dati della caveau residui nella posizione di destinazione, elimina prima questi dati.",대상 위치에 남아 있는「보안 폴더」데이터가 있습니다. 먼저 삭제한 후 진행하세요.,目標位置存在殘留保險箱數據，請先刪除後操作
201006,面容ID登录凭证不正确,Face ID login credentials are incorrect,Falsche Gesichts-ID,Face IDのログイン認証情報が正しくありません。,Les identifiants de connexion par reconnaissance faciale  sont incorrects.,De inlog gegevens voor gezichts ID zijn onjuist,As credenciais do Face ID estão incorretas,Las credenciales de inicio de sesión mediante Face ID son incorrectas.,Le credenziali di accesso tramite Face ID sono errate.,Face ID 로그인 자격 증명이 올바르지 않습니다.,面容ID登錄憑證不正確
201008,迁移失败，保险箱被其他进程占用,"Migration failed. ""Vault"" is occupied by other processes",Migration fehlgeschlagen. „Tresor“ wird von einem anderen Prozess verwendet,移行に失敗しました。セーフボックスは他のプロセスに占有されています。,"Échec de la migration. ""Coffre-fort"" est occupé par d'autres processus","Migratie mislukt. ""Kluis"" wordt door een ander proces gebruikt.","Falha na migração, o confre está sendo usado por outro processo","Error de migración. ""Caja fuerte"" está siendo utilizada por otros procesos","Errore di migrazione, cassaforte occupata da un altro processo","마이그레이션 실패,「보안 폴더」가 다른 프로세스에 의해 사용 중입니다.",遷移失敗，保險箱被其他進程佔用
201009,存储空间的可用空间不足,Insufficient available volume capacity,Die verfügbare Volume-Kapazität ist unzureichend.,ボリュームの空き容量が不足しています。,Capacité disponible du volume insuffisante,Onvoldoende beschikbare volume-capaciteit.,Sem espaço suficiente para arzenamento,Capacidad disponible del volumen insuficiente,Spazio insufficiente nel volume,저장 공간의 사용 가능한 용량이 부족합니다,存儲空間的可用空間不足
