Code,zh-CN,en-US,nl-NL,de-DE,pt-PT,es-ES,it-IT,fr-FR,ja-JP,ko-KR,zh-TW
32001,操作失败,Operation failed,Operatie mislukt,Vorgang fehlgeschlagen,A operação falhou,Operación fallida,Operazione fallita,L'opération a échoué ,操作に失敗しました,작업 실패,操作失敗
32002,当前用户已开启“对管理员隐藏我的文件”选项，如需继续还原请联系该用户在“文件管理器”-“个人文件夹设置”中关闭此选项。,"The current user has enabled ""Hide my files from administrator"". Please contact the user to disable it in ""File Manager > Personal Folder Management"".",De huidige gebruiker heeft de optie “Mijn bestanden verbergen voor de beheerder” ingeschakeld. Neem contact op met de gebruiker om deze optie uit te schakelen via “Bestanden > Persoonlijke mappen beheren”.,Der aktuelle Benutzer hat „Meine persönlichen Dateien für andere Benutzer ausblenden“ aktiviert. Bitte wenden Sie sich an den Benutzer um diese Funktion unter „Dateimanager > Persönliche Ordnerverwaltung“ zu deaktivieren.,"O utilizador atual ativou a opção ""Ocultar os meus ficheiros do administrador"". Para continuar, contacte o utilizador para desativar esta opção em ""Gestor de Ficheiros > Configurações da Pasta Pessoal"".","El usuario actual ha activado la opción ""Ocultar mis archivos al administrador"". Póngase en contacto con el usuario para desactivarla en ""Gestor de archivos > Configuración de carpetas personales"".","L'utente attuale ha attivato l'opzione ""Nascondi i miei file all'amministratore"". Contatta l'utente per disattivarla in ""Gestore file > Impostazioni cartelle personali"".","L'option ""Cacher mes fichiers des administrateurs"" est activée pour l'utilisateur actuel. Pour continuer la restauration",現在のユーザーは「管理者に自分のファイルを非表示にする」オプションを有効にしています。復元を続行するには、該当ユーザーに「ファイル」>「個人フォルダ設定」でこのオプションを無効にしてもらってください。,현재 사용자가 “관리자에게 내 파일 숨기기” 옵션을 활성화했습니다. 복원을 계속하려면 해당 사용자에게 “파일 관리자” - “개인 폴더 설정”에서 이 옵션을 해제하도록 요청하세요.,當前用戶已開啓“對管理員隱藏我的文件”選項，如需繼續還原請聯繫該用戶在“文件管理器”-“個人文件夾設置”中關閉此選項。
32003,文件夹不存在,Folder does not exist.,Map bestaat niet,Ordner existiert nicht.,Pasta não existe.,La carpeta no existe,La cartella non esiste,Dossier inexistant,フォルダが存在しません。,폴더가 존재하지 않습니다.,文件夾不存在
32004,无法操作，该文件夹包含子卷（可能是旧系统用户文件夹），需要先删除子卷,Action unavailable. The folder contains a subvolume (maybe a user folder from the old system). Please delete it first,Bewerking mislukt. De map bevat een subvolume (een gebruikersmap uit het oude systeem). Verwijder eerst het subvolume,Vorgang fehlgeschlagen. Der Ordner enthält ein Subvolume (möglicherweise ein Benutzerordner aus dem alten System). Bitte löschen Sie zuerst das Subvolume,Ação indisponível. A pasta contém um subvolume (talvez uma pasta de usuário do sistema antigo). Exclua-o primeiro,No se puede realizar la operación. Esta carpeta contiene subvolúmenes (posiblemente la carpeta de usuario del sistema anterior). Primero elimínelos,Azione non disponibile. La cartella contiene un sottovolume (potrebbe essere una cartella utente del vecchio sistema). Eliminala prima,Opération impossible. Le dossier contient un sous-volume (peut-être un dossier utilisateur de l'ancien système). Veuillez le supprimer d'abord.,操作できません。このフォルダにはサブボリューム（旧システムのユーザーフォルダの可能性あり）が含まれているため、先にサブボリュームを削除する必要があります。,작업 불가. 이 폴더에 하위 볼륨(이전 시스템 사용자 폴더일 수 있음)이 포함되어 있습니다. 먼저 하위 볼륨을 삭제해야 합니다.,無法操作，該資料夾包含子卷（可能是舊系統使用者資料夾），需要先刪除子卷
