Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,nl-NL,pt-PT,es-ES,it-IT,ko-KR
50000,"设置失败,文件夹不存在","Setting failed,folder not found","Einstellung fehlgeschlagen, der Ordner existiert nicht",設定に失敗しました。フォルダが存在しません。,Il faut réserver au moins 100 Mo pour pouvoir continuer à utiliser. Voir l'espace de stockage,"Instelling mislukt, map niet gevonden","Falha na configuração, pasta não encontrada.","Error de configuración, carpeta no encontrada","Errore di configurazione, cartella non trovata","설정 실패, 폴더가 존재하지 않습니다"
50001,"文件夹的旧版本数据未删除完成,请稍后再试","Old version of folder data not completely deleted, please retry later","Alte Version der Ordnerdaten wurde nicht vollständig gelöscht, bitte versuchen Sie es später erneut",フォルダの旧バージョンデータが完全に削除されていません。後で再試行してください。,"Ancienne version des données du dossier non complètement supprimée, veuillez réessayer plus tard","Oude versie van mapgegevens niet volledig verwijderd, probeer later opnieuw","Os dados da versão antiga da pasta não foram completamente excluídos, tente novamente mais tarde.","La versión antigua de los datos de la carpeta no se ha borrado completamente, vuelva a intentarlo más tarde","La vecchia versione dei dati della cartella non è stata completamente eliminata, riprova più tardi.","폴더의 이전 버전 데이터가 아직 완전히 삭제되지 않았습니다. 잠시 후 다시 시도하세요"
50002,"存储空间受损,无法操作","Volume damaged, unable to operate","Volume beschädigt, Vorgang nicht möglich",ストレージが損傷しているため、操作できません。,"Volume endommagé, impossible d'opérer","Volume beschadigd, kan niet worden bediend","Volume danificado, impossível operar.","Volumen dañado, no puede funcionar","Volume danneggiato, operazione impossibile.","저장 공간이 손상되어 작업할 수 없습니다"
50003,历史数据兼容处理中,Processing historical data for compatibility... ,Historische Daten werden auf Kompatibilität geprüft,履歴データの互換性処理中...,Traitement des données historiques pour la compatibilité...,Verwerken van historische gegevens voor compatibiliteit...,Processando dados históricos para compatibilidade...,Procesando datos históricos para compatibilidad...,Elaborazione dei dati storici per la compatibilità...,"이전 데이터 호환 처리 중"
