Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
iscsi_lun_damaged,损毁,Damaged,Beschädigt,破損,Endommagé,Dañado,Danificado,Beschadigd,Danneggiato,손상,損毀
iscsi_lun_readonly,只读,Read-only,Nur-Lesen,読み取り専用,Lecture seule,Solo lectura,Somente leitura,Alleen lezen,Sola lettura,읽기 전용,唯讀
iscsi_lun_warning,警告,Warning,Warnung,警告,Avertissement,Advertencia,Aviso,Waarschuwing,Avvertimento,경고,警告
iscsi_lun_protected,受保护,Protected,Geschützt,保護中,Protégé,Protegido,Protegido,Beveiligd,Protetto,보호됨,受保護
iscsi_lun_health_error,当前有LUN为%s状态，请及时<notice-link>前往处理</notice-link>,There is a LUN in %s status. Please <notice-link>take action</notice-link> promptly,Es befindet sich eine LUN im Status %s. Bitte <notice-link>handeln Sie umgehend</notice-link>.,現在、LUN に「%s」の状態があります。お早めに<notice-link>からご対応ください。</notice-link>,Il y a un LUN dans l'état %s. Veuillez <notice-link> intervenir </notice-link> rapidement.,"Hay una LUN en estado %s. Por favor, <notice-link>tome medidas</notice-link> de inmediato.",Existe um LUN em status %s. Por favor<notice-link>tome providências</notice-link>imediatamente,Er is een LUN met de status %s. Neem zo snel mogelijk actie <notice-link>actie</notice-link>.,Esiste un LUN nello stato %s. <notice-link>Prendi provvedimenti</notice-link> immediatamente,현재 LUN 상태가 %s입니다. <notice-link>바로가기</notice-link>에서 즉시 처리하세요,當前有LUN爲%s狀態，請及時<notice-link>前往處理</notice-link>
iscsi_port_available_error,iSCSI服务异常：端口号已被其他服务占用，请及时<notice-link>前往处理</notice-link>,iSCSI service error: Port is occupied by another service. Please <notice-link>go handle it</notice-link> promptly,"iSCSI-Dienstfehler: Der Port wird bereits von einem anderen Dienst verwendet, bitte <notice-link>handeln Sie umgehend</notice-link>",iSCSI サービスに異常があります：ポート番号が他のサービスに使用されています。早急に<notice-link>対応してください</notice-link>。,Erreur du service iSCSI : Le port est occupé par un autre service. Veuillez<notice-link>le traiter rapidement<notice-link>.,"Error del servicio iSCSI: el puerto está ocupado por otro servicio. Por favor, <notice-link>resuélvalo</notice-link> lo antes posible.",Erro do serviço iSCSI: A porta está ocupada por outro serviço.<notice-link>Resolva<notice-link> agora,"iSCSI-servicefout: poortnummer is in gebruik door een andere service, gelieve dit <notice-link>tijdig te verhelpen</notice-link>",Errore del servizio iSCSI: La porta è occupata da un altro servizio. <notice-link>intervieni</notice-link> tempestivamente.,iSCSI 서비스 오류: 포트 번호가 다른 서비스에서 사용 중입니다. <notice-link>바로가기</notice-link>에서 즉시 처리하세요,iSCSI服務異常：端口號已被其他服務佔用，請及時<notice-link>前往處理</notice-link>
